"","Accession","Begin","End","Chromosome","Orientation","Name","Symbol","Gene.ID","Gene.Type","Transcripts.accession","Protein.accession","Protein.length","Locus.tag","source_file"
"10051","NZ_CP072258.1",3437646,3438554,"","plus","sulfate adenylyltransferase subunit CysD","cysD",75113976,"protein-coding",NA,"WP_005677885.1",302,"INE72_RS14045","bacteroides_caccae.tsv"
"10052","NZ_CP072258.1",3438567,3440027,"","plus","sulfate adenylyltransferase subunit CysN","cysN",75113977,"protein-coding",NA,"WP_005677887.1",486,"INE72_RS14050","bacteroides_caccae.tsv"
"10053","NZ_CP072258.1",3440034,3441140,"","plus","sulfotransferase family protein","",75113978,"protein-coding",NA,"WP_005680642.1",368,"INE72_RS14055","bacteroides_caccae.tsv"
"10054","NZ_CP072258.1",3441159,3442127,"","plus","PCMD domain-containing protein","",75113979,"protein-coding",NA,"WP_005680643.1",322,"INE72_RS14060","bacteroides_caccae.tsv"
"10055","NZ_CP072258.1",3442445,3443587,"","plus","OmpA family protein","",75113980,"protein-coding",NA,"WP_005677891.1",380,"INE72_RS14065","bacteroides_caccae.tsv"
"10056","NZ_CP072258.1",3443662,3444078,"","plus","Holliday junction resolvase RuvX","ruvX",75113981,"protein-coding",NA,"WP_005677892.1",138,"INE72_RS14070","bacteroides_caccae.tsv"
"10057","NZ_CP072258.1",3444123,3444677,"","plus","peptide deformylase","def",75113982,"protein-coding",NA,"WP_005677893.1",184,"INE72_RS14075","bacteroides_caccae.tsv"
"10058","NZ_CP072258.1",3444754,3446787,"","plus","tetratricopeptide repeat protein","",75113983,"protein-coding",NA,"WP_032837645.1",677,"INE72_RS14080","bacteroides_caccae.tsv"
"10059","NZ_CP072258.1",3446870,3448810,"","plus","threonine--tRNA ligase","thrS",75113984,"protein-coding",NA,"WP_005680647.1",646,"INE72_RS14085","bacteroides_caccae.tsv"
"10060","NZ_CP072258.1",3448882,3449484,"","plus","translation initiation factor IF-3","infC",75113985,"protein-coding",NA,"WP_005677896.1",200,"INE72_RS14090","bacteroides_caccae.tsv"
"10061","NZ_CP072258.1",3449553,3449750,"","plus","50S ribosomal protein L35","rpmI",75113986,"protein-coding",NA,"WP_004326827.1",65,"INE72_RS14095","bacteroides_caccae.tsv"
"10062","NZ_CP072258.1",3449850,3450200,"","plus","50S ribosomal protein L20","rplT",75113987,"protein-coding",NA,"WP_004297540.1",116,"INE72_RS14100","bacteroides_caccae.tsv"
"10063","NZ_CP072258.1",3450559,3451335,"","plus","EFR1 family ferrodoxin","",75113988,"protein-coding",NA,"WP_005677901.1",258,"INE72_RS14105","bacteroides_caccae.tsv"
"10064","NZ_CP072258.1",3451322,3451894,"","minus","xanthine phosphoribosyltransferase","xpt",75113989,"protein-coding",NA,"WP_005677902.1",190,"INE72_RS14110","bacteroides_caccae.tsv"
"10065","NZ_CP072258.1",3451990,3453297,"","minus","phenylacetate--CoA ligase","",75113990,"protein-coding",NA,"WP_005677903.1",435,"INE72_RS14115","bacteroides_caccae.tsv"
"10066","NZ_CP072258.1",3453312,3453893,"","minus","indolepyruvate oxidoreductase subunit beta","",75113991,"protein-coding",NA,"WP_005677904.1",193,"INE72_RS14120","bacteroides_caccae.tsv"
"10067","NZ_CP072258.1",3453897,3455489,"","minus","thiamine pyrophosphate-dependent enzyme","",75113992,"protein-coding",NA,"WP_005677905.1",530,"INE72_RS14125","bacteroides_caccae.tsv"
"10068","NZ_CP072258.1",3455570,3456601,"","minus","endolytic transglycosylase MltG","mltG",75113993,"protein-coding",NA,"WP_005680648.1",343,"INE72_RS14130","bacteroides_caccae.tsv"
"10069","NZ_CP072258.1",3456832,3457707,"","minus","DNA/RNA non-specific endonuclease","",75113994,"protein-coding",NA,"WP_005680649.1",291,"INE72_RS14135","bacteroides_caccae.tsv"
"10070","NZ_CP072258.1",3457976,3459184,"","minus","ROK family transcriptional regulator","",75113996,"protein-coding",NA,"WP_005676463.1",402,"INE72_RS14145","bacteroides_caccae.tsv"
"10071","NZ_CP072258.1",3459422,3459868,"","plus","NanQ anomerase/TabA/YiaL family protein","",75113997,"protein-coding",NA,"WP_005676461.1",148,"INE72_RS14150","bacteroides_caccae.tsv"
"10072","NZ_CP072258.1",3460073,3461314,"","plus","MFS transporter","",75113998,"protein-coding",NA,"WP_005676460.1",413,"INE72_RS14155","bacteroides_caccae.tsv"
"10073","NZ_CP072258.1",3461346,3462263,"","plus","dihydrodipicolinate synthase family protein","",75113999,"protein-coding",NA,"WP_005680650.1",305,"INE72_RS14160","bacteroides_caccae.tsv"
"10074","NZ_CP072258.1",3462275,3463450,"","plus","AGE family epimerase/isomerase","",75114000,"protein-coding",NA,"WP_005680652.1",391,"INE72_RS14165","bacteroides_caccae.tsv"
"10075","NZ_CP072258.1",3464636,3467962,"","plus","SusC/RagA family TonB-linked outer membrane protein","",75114001,"protein-coding",NA,"WP_005680654.1",1108,"INE72_RS14170","bacteroides_caccae.tsv"
"10076","NZ_CP072258.1",3467982,3469568,"","plus","RagB/SusD family nutrient uptake outer membrane protein","",75114002,"protein-coding",NA,"WP_005680655.1",528,"INE72_RS14175","bacteroides_caccae.tsv"
"10077","NZ_CP072258.1",3469764,3471404,"","plus","sialidase family protein","",75114003,"protein-coding",NA,"WP_032838044.1",546,"INE72_RS14180","bacteroides_caccae.tsv"
"10078","NZ_CP072258.1",3471428,3473446,"","plus","family 20 glycosylhydrolase","",75114004,"protein-coding",NA,"WP_005676454.1",672,"INE72_RS14185","bacteroides_caccae.tsv"
"10079","NZ_CP072258.1",3473573,3474238,"","plus","SGNH/GDSL hydrolase family protein","",75114005,"protein-coding",NA,"WP_005676452.1",221,"INE72_RS14190","bacteroides_caccae.tsv"
"10080","NZ_CP072258.1",3474239,3477397,"","plus","cyclically-permuted mutarotase family protein","",75114006,"protein-coding",NA,"WP_005680657.1",1052,"INE72_RS14195","bacteroides_caccae.tsv"
"10081","NZ_CP072258.1",3477458,3480070,"","plus","beta-mannosidase","",75114007,"protein-coding",NA,"WP_005680658.1",870,"INE72_RS14200","bacteroides_caccae.tsv"
"10082","NZ_CP072258.1",3480110,3482434,"","plus","glycoside hydrolase family 20 protein","",75114008,"protein-coding",NA,"WP_005676448.1",774,"INE72_RS14205","bacteroides_caccae.tsv"
"10083","NZ_CP072258.1",3482434,3484506,"","plus","glycoside hydrolase family 20 protein","",75114009,"protein-coding",NA,"WP_005680659.1",690,"INE72_RS14210","bacteroides_caccae.tsv"
"10084","NZ_CP072258.1",3484641,3487388,"","plus","SusC/RagA family TonB-linked outer membrane protein","",75114010,"protein-coding",NA,"WP_032838048.1",915,"INE72_RS14215","bacteroides_caccae.tsv"
"10085","NZ_CP072258.1",3487403,3489034,"","plus","RagB/SusD family nutrient uptake outer membrane protein","",75114011,"protein-coding",NA,"WP_005680663.1",543,"INE72_RS14220","bacteroides_caccae.tsv"
"10086","NZ_CP072258.1",3489122,3490297,"","minus","molecular chaperone DnaJ","dnaJ",75114012,"protein-coding",NA,"WP_005676444.1",391,"INE72_RS14225","bacteroides_caccae.tsv"
"10087","NZ_CP072258.1",3490321,3490902,"","minus","nucleotide exchange factor GrpE","",75114013,"protein-coding",NA,"WP_005676442.1",193,"INE72_RS14230","bacteroides_caccae.tsv"
"10088","NZ_CP072258.1",3491103,3492722,"","plus","ABC-F family ATP-binding cassette domain-containing protein","",75114014,"protein-coding",NA,"WP_005676441.1",539,"INE72_RS14235","bacteroides_caccae.tsv"
"10089","NZ_CP072258.1",3493017,3494066,"","minus","leucine-rich repeat protein","",75114015,"protein-coding",NA,"WP_005676440.1",349,"INE72_RS14240","bacteroides_caccae.tsv"
"10090","NZ_CP072258.1",3494170,3495066,"","plus","CPBP family intramembrane glutamic endopeptidase","",75114016,"protein-coding",NA,"WP_005680666.1",298,"INE72_RS14245","bacteroides_caccae.tsv"
"10091","NZ_CP072258.1",3495038,3497170,"","minus","Tex family protein","",75114017,"protein-coding",NA,"WP_005680668.1",710,"INE72_RS14250","bacteroides_caccae.tsv"
"10092","NZ_CP072258.1",3497288,3499213,"","plus","sensor histidine kinase","",75114018,"protein-coding",NA,"WP_005680669.1",641,"INE72_RS14255","bacteroides_caccae.tsv"
"10093","NZ_CP072258.1",3499210,3500955,"","plus","bifunctional metallophosphatase/5'-nucleotidase","",75114019,"protein-coding",NA,"WP_005676436.1",581,"INE72_RS14260","bacteroides_caccae.tsv"
"10094","NZ_CP072258.1",3501047,3501949,"","plus","helix-turn-helix domain-containing protein","",75114020,"protein-coding",NA,"WP_005680670.1",300,"INE72_RS14265","bacteroides_caccae.tsv"
"10095","NZ_CP072258.1",3502002,3502586,"","minus","Crp/Fnr family transcriptional regulator","",75114021,"protein-coding",NA,"WP_005676434.1",194,"INE72_RS14270","bacteroides_caccae.tsv"
"10096","NZ_CP072258.1",3502694,3503425,"","plus","DUF3845 domain-containing protein","",75114022,"protein-coding",NA,"WP_032838049.1",243,"INE72_RS14275","bacteroides_caccae.tsv"
"10097","NZ_CP072258.1",3505678,3506124,"","plus","hypothetical protein","",75114027,"protein-coding",NA,"WP_005676429.1",148,"INE72_RS14300","bacteroides_caccae.tsv"
"10098","NZ_CP072258.1",3506362,3508026,"","plus","putative transporter","",75114028,"protein-coding",NA,"WP_005676428.1",554,"INE72_RS14305","bacteroides_caccae.tsv"
"10099","NZ_CP072258.1",3508161,3510155,"","plus","fructose-bisphosphatase class III","",75114029,"protein-coding",NA,"WP_005680675.1",664,"INE72_RS14310","bacteroides_caccae.tsv"
"10100","NZ_CP072258.1",3510267,3511415,"","minus","LA_2272 family surface repeat-containing protein","",75114030,"protein-coding",NA,"WP_005676426.1",382,"INE72_RS14315","bacteroides_caccae.tsv"
"10101","NZ_CP072258.1",3511484,3513142,"","minus","AMP-binding protein","",75114031,"protein-coding",NA,"WP_005676424.1",552,"INE72_RS14320","bacteroides_caccae.tsv"
"10102","NZ_CP072258.1",3513309,3514379,"","minus","GDP-L-fucose synthase family protein","",75114032,"protein-coding",NA,"WP_005680676.1",356,"INE72_RS14325","bacteroides_caccae.tsv"
"10103","NZ_CP072258.1",3514388,3515458,"","minus","GDP-mannose 4,6-dehydratase","gmd",75114033,"protein-coding",NA,"WP_005676422.1",356,"INE72_RS14330","bacteroides_caccae.tsv"
"10104","NZ_CP072258.1",3515543,3516721,"","minus","dicarboxylate/amino acid:cation symporter","",75114034,"protein-coding",NA,"WP_005680677.1",392,"INE72_RS14335","bacteroides_caccae.tsv"
"10105","NZ_CP072258.1",3516831,3518306,"","plus","decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase","gnd",75114035,"protein-coding",NA,"WP_005680678.1",491,"INE72_RS14340","bacteroides_caccae.tsv"
"10106","NZ_CP072258.1",3518364,3519860,"","plus","glucose-6-phosphate dehydrogenase","zwf",75114036,"protein-coding",NA,"WP_005680679.1",498,"INE72_RS14345","bacteroides_caccae.tsv"
"10107","NZ_CP072258.1",3519857,3520588,"","plus","6-phosphogluconolactonase","pgl",75114037,"protein-coding",NA,"WP_005680680.1",243,"INE72_RS14350","bacteroides_caccae.tsv"
"10108","NZ_CP072258.1",3520697,3520909,"","minus","hypothetical protein","",75114038,"protein-coding",NA,"WP_005676415.1",70,"INE72_RS14355","bacteroides_caccae.tsv"
"10109","NZ_CP072258.1",3521166,3521399,"","plus","hypothetical protein","",75114039,"protein-coding",NA,"WP_005676414.1",77,"INE72_RS14360","bacteroides_caccae.tsv"
"10110","NZ_CP072258.1",3521655,3522353,"","minus","LytR/AlgR family response regulator transcription factor","",75114040,"protein-coding",NA,"WP_005676412.1",232,"INE72_RS14365","bacteroides_caccae.tsv"
"10111","NZ_CP072258.1",3522394,3523449,"","minus","sensor histidine kinase","",75114041,"protein-coding",NA,"WP_005676410.1",351,"INE72_RS14370","bacteroides_caccae.tsv"
"10112","NZ_CP072258.1",3523468,3524688,"","minus","ABC transporter permease","",75114042,"protein-coding",NA,"WP_005676408.1",406,"INE72_RS14375","bacteroides_caccae.tsv"
"10113","NZ_CP072258.1",3524711,3525454,"","minus","ABC transporter ATP-binding protein","",75114043,"protein-coding",NA,"WP_005676406.1",247,"INE72_RS14380","bacteroides_caccae.tsv"
"10114","NZ_CP072258.1",3525827,3527047,"","minus","efflux RND transporter periplasmic adaptor subunit","",75114044,"protein-coding",NA,"WP_005680682.1",406,"INE72_RS14385","bacteroides_caccae.tsv"
"10115","NZ_CP072258.1",3527094,3528491,"","minus","TolC family protein","",75114045,"protein-coding",NA,"WP_005676403.1",465,"INE72_RS14390","bacteroides_caccae.tsv"
"10116","NZ_CP072258.1",3528710,3528946,"","plus","DUF4492 domain-containing protein","",75114046,"protein-coding",NA,"WP_005676402.1",78,"INE72_RS14395","bacteroides_caccae.tsv"
"10117","NZ_CP072258.1",3528967,3530514,"","plus","cytochrome ubiquinol oxidase subunit I","",75114047,"protein-coding",NA,"WP_005676401.1",515,"INE72_RS14400","bacteroides_caccae.tsv"
"10118","NZ_CP072258.1",3530575,3531717,"","plus","cytochrome d ubiquinol oxidase subunit II","cydB",75114048,"protein-coding",NA,"WP_005676400.1",380,"INE72_RS14405","bacteroides_caccae.tsv"
"10119","NZ_CP072258.1",3531843,3532799,"","minus","D-2-hydroxyacid dehydrogenase","",75114049,"protein-coding",NA,"WP_005676399.1",318,"INE72_RS14410","bacteroides_caccae.tsv"
"10120","NZ_CP072258.1",3532866,3534137,"","minus","replication-associated recombination protein A","",75114050,"protein-coding",NA,"WP_005676396.1",423,"INE72_RS14415","bacteroides_caccae.tsv"
"10121","NZ_CP072258.1",3534142,3536718,"","minus","DUF5686 and carboxypeptidase-like regulatory domain-containing protein","",75114051,"protein-coding",NA,"WP_005680683.1",858,"INE72_RS14420","bacteroides_caccae.tsv"
"10122","NZ_CP072258.1",3537105,3538190,"","minus","non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase","wecB",75114052,"protein-coding",NA,"WP_005680684.1",361,"INE72_RS14425","bacteroides_caccae.tsv"
"10123","NZ_CP072258.1",3538283,3538924,"","plus","trimeric intracellular cation channel family protein","",75114053,"protein-coding",NA,"WP_005676391.1",213,"INE72_RS14430","bacteroides_caccae.tsv"
"10124","NZ_CP072258.1",3538940,3539434,"","minus","DUF4251 domain-containing protein","",75114054,"protein-coding",NA,"WP_005676390.1",164,"INE72_RS14435","bacteroides_caccae.tsv"
"10125","NZ_CP072258.1",3539563,3540525,"","minus","M48 family metallopeptidase","",75114055,"protein-coding",NA,"WP_005680685.1",320,"INE72_RS14440","bacteroides_caccae.tsv"
"10126","NZ_CP072258.1",3540570,3541130,"","minus","LemA family protein","",75114056,"protein-coding",NA,"WP_005676388.1",186,"INE72_RS14445","bacteroides_caccae.tsv"
"10127","NZ_CP072258.1",3541370,3541873,"","plus","RNA polymerase sigma factor","",75114057,"protein-coding",NA,"WP_005680686.1",167,"INE72_RS14450","bacteroides_caccae.tsv"
"10128","NZ_CP072258.1",3541944,3542684,"","minus","monofunctional biosynthetic peptidoglycan transglycosylase","mtgA",75114058,"protein-coding",NA,"WP_005680688.1",246,"INE72_RS14455","bacteroides_caccae.tsv"
"10129","NZ_CP072258.1",3542662,3543378,"","minus","YiaD family glycine zipper/OmpA-like lipoprotein","",75114059,"protein-coding",NA,"WP_005676385.1",238,"INE72_RS14460","bacteroides_caccae.tsv"
"10130","NZ_CP072258.1",3543528,3544883,"","minus","MATE family efflux transporter","",75114060,"protein-coding",NA,"WP_005680691.1",451,"INE72_RS14465","bacteroides_caccae.tsv"
"10131","NZ_CP072258.1",3544974,3546359,"","plus","GDSL-type esterase/lipase family protein","",75114061,"protein-coding",NA,"WP_005680692.1",461,"INE72_RS14470","bacteroides_caccae.tsv"
"10132","NZ_CP072258.1",3546606,3548480,"","plus","PAS domain-containing sensor histidine kinase","",75114062,"protein-coding",NA,"WP_032837654.1",624,"INE72_RS14475","bacteroides_caccae.tsv"
"10133","NZ_CP072258.1",3548525,3548800,"","minus","GyrI-like domain-containing protein","",75114063,"protein-coding",NA,"WP_005676379.1",91,"INE72_RS14480","bacteroides_caccae.tsv"
"10134","NZ_CP072258.1",3549218,3550909,"","plus","energy-dependent translational throttle protein EttA","ettA",75114065,"protein-coding",NA,"WP_005676378.1",563,"INE72_RS14490","bacteroides_caccae.tsv"
"10135","NZ_CP072258.1",3551125,3554430,"","plus","TonB-dependent receptor","",75114066,"protein-coding",NA,"WP_032837656.1",1101,"INE72_RS14495","bacteroides_caccae.tsv"
"10136","NZ_CP072258.1",3554540,3555640,"","minus","endonuclease/exonuclease/phosphatase family protein","",75114067,"protein-coding",NA,"WP_005680695.1",366,"INE72_RS14500","bacteroides_caccae.tsv"
"10137","NZ_CP072258.1",3555662,3558364,"","minus","hybrid sensor histidine kinase/response regulator","",75114068,"protein-coding",NA,"WP_032838053.1",900,"INE72_RS14505","bacteroides_caccae.tsv"
"10138","NZ_CP072258.1",3558433,3559647,"","minus","glycosyltransferase family 2 protein","",75114069,"protein-coding",NA,"WP_005680697.1",404,"INE72_RS14510","bacteroides_caccae.tsv"
"10139","NZ_CP072258.1",3559799,3560578,"","minus","class I SAM-dependent methyltransferase","",75114070,"protein-coding",NA,"WP_005680698.1",259,"INE72_RS14515","bacteroides_caccae.tsv"
"10140","NZ_CP072258.1",3560592,3561449,"","minus","glycosyltransferase family 2 protein","",75114071,"protein-coding",NA,"WP_005680700.1",285,"INE72_RS14520","bacteroides_caccae.tsv"
"10141","NZ_CP072258.1",3561452,3562609,"","minus","glycosyltransferase family 4 protein","",75114072,"protein-coding",NA,"WP_005680701.1",385,"INE72_RS14525","bacteroides_caccae.tsv"
"10142","NZ_CP072258.1",3562640,3563770,"","minus","glycosyltransferase family protein","",75114073,"protein-coding",NA,"WP_005676369.1",376,"INE72_RS14530","bacteroides_caccae.tsv"
"10143","NZ_CP072258.1",3563810,3565264,"","minus","lipopolysaccharide biosynthesis protein","",75114074,"protein-coding",NA,"WP_005680703.1",484,"INE72_RS14535","bacteroides_caccae.tsv"
"10144","NZ_CP072258.1",3565261,3566466,"","minus","glycosyltransferase","",75114075,"protein-coding",NA,"WP_005680704.1",401,"INE72_RS14540","bacteroides_caccae.tsv"
"10145","NZ_CP072258.1",3566520,3567647,"","minus","glycosyltransferase family protein","",75114076,"protein-coding",NA,"WP_005680706.1",375,"INE72_RS14545","bacteroides_caccae.tsv"
"10146","NZ_CP072258.1",3568220,3569284,"","plus","DUF4373 domain-containing protein","",75114077,"protein-coding",NA,"WP_005680707.1",354,"INE72_RS14550","bacteroides_caccae.tsv"
"10147","NZ_CP072258.1",3569899,3570429,"","plus","HU family DNA-binding protein","",75114078,"protein-coding",NA,"WP_005676360.1",176,"INE72_RS14555","bacteroides_caccae.tsv"
"10148","NZ_CP072258.1",3570549,3570992,"","plus","N-acetylmuramoyl-L-alanine amidase","",75114079,"protein-coding",NA,"WP_005676358.1",147,"INE72_RS14560","bacteroides_caccae.tsv"
"10149","NZ_CP072258.1",3570993,3572102,"","minus","glycosyltransferase","",75114080,"protein-coding",NA,"WP_005676357.1",369,"INE72_RS14565","bacteroides_caccae.tsv"
"10150","NZ_CP072258.1",3572092,3573252,"","minus","glycosyltransferase family 2 protein","",75114081,"protein-coding",NA,"WP_005680708.1",386,"INE72_RS14570","bacteroides_caccae.tsv"
"10151","NZ_CP072258.1",3573255,3574157,"","minus","glycosyltransferase family 2 protein","",75114082,"protein-coding",NA,"WP_005680709.1",300,"INE72_RS14575","bacteroides_caccae.tsv"
"10152","NZ_CP072258.1",3574154,3575464,"","minus","O-antigen ligase family protein","",75114083,"protein-coding",NA,"WP_005680710.1",436,"INE72_RS14580","bacteroides_caccae.tsv"
"10153","NZ_CP072258.1",3575457,3577679,"","minus","GumC family protein","",75114084,"protein-coding",NA,"WP_005680711.1",740,"INE72_RS14585","bacteroides_caccae.tsv"
"10154","NZ_CP072258.1",3577691,3578437,"","minus","TolC family protein","",75114085,"protein-coding",NA,"WP_005676350.1",248,"INE72_RS14590","bacteroides_caccae.tsv"
"10155","NZ_CP072258.1",3578565,3579800,"","minus","BamA/TamA family outer membrane protein","",75114086,"protein-coding",NA,"WP_005680712.1",411,"INE72_RS14595","bacteroides_caccae.tsv"
"10156","NZ_CP072258.1",3580033,3581433,"","plus","C1 family peptidase","",75114087,"protein-coding",NA,"WP_005680715.1",466,"INE72_RS14600","bacteroides_caccae.tsv"
"10157","NZ_CP072258.1",3581602,3582951,"","plus","Na(+)-translocating NADH-quinone reductase subunit A","",75114088,"protein-coding",NA,"WP_032837660.1",449,"INE72_RS14605","bacteroides_caccae.tsv"
"10158","NZ_CP072258.1",3583008,3584180,"","plus","NADH:ubiquinone reductase (Na(+)-transporting) subunit B","",75114089,"protein-coding",NA,"WP_005676346.1",390,"INE72_RS14610","bacteroides_caccae.tsv"
"10159","NZ_CP072258.1",3584194,3584868,"","plus","Na(+)-translocating NADH-quinone reductase subunit C","",75114090,"protein-coding",NA,"WP_005680717.1",224,"INE72_RS14615","bacteroides_caccae.tsv"
"10160","NZ_CP072258.1",3584891,3585532,"","plus","NADH:ubiquinone reductase (Na(+)-transporting) subunit D","",75114091,"protein-coding",NA,"WP_005676342.1",213,"INE72_RS14620","bacteroides_caccae.tsv"
"10161","NZ_CP072258.1",3585557,3586183,"","plus","NADH:ubiquinone reductase (Na(+)-transporting) subunit E","nqrE",75114092,"protein-coding",NA,"WP_005676340.1",208,"INE72_RS14625","bacteroides_caccae.tsv"
"10162","NZ_CP072258.1",3586202,3587476,"","plus","NADH:ubiquinone reductase (Na(+)-transporting) subunit F","nqrF",75114093,"protein-coding",NA,"WP_005676339.1",424,"INE72_RS14630","bacteroides_caccae.tsv"
"10163","NZ_CP072258.1",3587709,3587888,"","plus","hypothetical protein","",75114094,"protein-coding",NA,"WP_005676337.1",59,"INE72_RS14635","bacteroides_caccae.tsv"
"10164","NZ_CP072258.1",3587935,3589269,"","plus","DEAD/DEAH box helicase","",75114095,"protein-coding",NA,"WP_005676334.1",444,"INE72_RS14640","bacteroides_caccae.tsv"
"10165","NZ_CP072258.1",3589554,3590621,"","plus","3-phosphoserine/phosphohydroxythreonine transaminase","serC",75114096,"protein-coding",NA,"WP_005676331.1",355,"INE72_RS14645","bacteroides_caccae.tsv"
"10166","NZ_CP072258.1",3590722,3591642,"","plus","NAD(P)-dependent oxidoreductase","",75114097,"protein-coding",NA,"WP_005676329.1",306,"INE72_RS14650","bacteroides_caccae.tsv"
"10167","NZ_CP072258.1",3591804,3593051,"","plus","DUF1015 domain-containing protein","",75114098,"protein-coding",NA,"WP_005680718.1",415,"INE72_RS14655","bacteroides_caccae.tsv"
"10168","NZ_CP072258.1",3593268,3593876,"","plus","IMPACT family protein","",75114099,"protein-coding",NA,"WP_005680719.1",202,"INE72_RS14660","bacteroides_caccae.tsv"
"10169","NZ_CP072258.1",3593993,3594790,"","plus","C39 family peptidase","",75114100,"protein-coding",NA,"WP_182426402.1",265,"INE72_RS14665","bacteroides_caccae.tsv"
"10170","NZ_CP072258.1",3594825,3595910,"","plus","HpaII family restriction endonuclease","",75114101,"protein-coding",NA,"WP_005680721.1",361,"INE72_RS14670","bacteroides_caccae.tsv"
"10171","NZ_CP072258.1",3595923,3596492,"","plus","nitroreductase family protein","",75114102,"protein-coding",NA,"WP_005680723.1",189,"INE72_RS14675","bacteroides_caccae.tsv"
"10172","NZ_CP072258.1",3596688,3599537,"","minus","aminomethyl-transferring glycine dehydrogenase","gcvP",75114103,"protein-coding",NA,"WP_005680724.1",949,"INE72_RS14680","bacteroides_caccae.tsv"
"10173","NZ_CP072258.1",3599558,3600196,"","minus","MBL fold metallo-hydrolase","",75114104,"protein-coding",NA,"WP_005676320.1",212,"INE72_RS14685","bacteroides_caccae.tsv"
"10174","NZ_CP072258.1",3600237,3600857,"","minus","16S rRNA (guanine(527)-N(7))-methyltransferase RsmG","rsmG",75114105,"protein-coding",NA,"WP_005680725.1",206,"INE72_RS14690","bacteroides_caccae.tsv"
"10175","NZ_CP072258.1",3600978,3601829,"","minus","RsiV family protein","",75114106,"protein-coding",NA,"WP_005680726.1",283,"INE72_RS14695","bacteroides_caccae.tsv"
"10176","NZ_CP072258.1",3602033,3602431,"","plus","HYC_CC_PP family protein","",75114107,"protein-coding",NA,"WP_032838059.1",132,"INE72_RS14700","bacteroides_caccae.tsv"
"10177","NZ_CP072258.1",3602564,3604783,"","plus","TonB-dependent receptor","",75114108,"protein-coding",NA,"WP_032837662.1",739,"INE72_RS14705","bacteroides_caccae.tsv"
"10178","NZ_CP072258.1",3604832,3605155,"","plus","heavy-metal-associated domain-containing protein","",75114109,"protein-coding",NA,"WP_005680729.1",107,"INE72_RS14710","bacteroides_caccae.tsv"
"10179","NZ_CP072258.1",3605264,3607471,"","plus","heavy metal translocating P-type ATPase","",75114110,"protein-coding",NA,"WP_005680731.1",735,"INE72_RS14715","bacteroides_caccae.tsv"
"10180","NZ_CP072258.1",3607671,3608510,"","minus","helix-turn-helix domain-containing protein","",75114111,"protein-coding",NA,"WP_005680733.1",279,"INE72_RS14720","bacteroides_caccae.tsv"
"10181","NZ_CP072258.1",3608577,3609260,"","plus","lipoyl(octanoyl) transferase LipB","lipB",75114112,"protein-coding",NA,"WP_005680734.1",227,"INE72_RS14725","bacteroides_caccae.tsv"
"10182","NZ_CP072258.1",3609217,3610155,"","minus","PorV/PorQ family protein","",75114113,"protein-coding",NA,"WP_005676308.1",312,"INE72_RS14730","bacteroides_caccae.tsv"
"10183","NZ_CP072258.1",3610158,3610937,"","minus","N-acetylmuramoyl-L-alanine amidase-like domain-containing protein","",75114114,"protein-coding",NA,"WP_005680735.1",259,"INE72_RS14735","bacteroides_caccae.tsv"
"10184","NZ_CP072258.1",3610943,3612931,"","minus","OPT family oligopeptide transporter","",75114115,"protein-coding",NA,"WP_005676306.1",662,"INE72_RS14740","bacteroides_caccae.tsv"
"10185","NZ_CP072258.1",3613037,3613432,"","minus","DUF1573 domain-containing protein","",75114116,"protein-coding",NA,"WP_005680736.1",131,"INE72_RS14745","bacteroides_caccae.tsv"
"10186","NZ_CP072258.1",3613531,3614130,"","minus","DUF4923 family protein","",75114117,"protein-coding",NA,"WP_005676304.1",199,"INE72_RS14750","bacteroides_caccae.tsv"
"10187","NZ_CP072258.1",3614127,3614732,"","minus","ribosome biogenesis GTP-binding protein YihA/YsxC","yihA",75114118,"protein-coding",NA,"WP_005680737.1",201,"INE72_RS14755","bacteroides_caccae.tsv"
"10188","NZ_CP072258.1",3614857,3616311,"","minus","sodium:solute symporter","",75114119,"protein-coding",NA,"WP_005680738.1",484,"INE72_RS14760","bacteroides_caccae.tsv"
"10189","NZ_CP072258.1",3616402,3617019,"","plus","recombination mediator RecR","recR",75114120,"protein-coding",NA,"WP_005676300.1",205,"INE72_RS14765","bacteroides_caccae.tsv"
"10190","NZ_CP072258.1",3617049,3617498,"","plus","hypothetical protein","",75114121,"protein-coding",NA,"WP_005676299.1",149,"INE72_RS14770","bacteroides_caccae.tsv"
"10191","NZ_CP072258.1",3617505,3618050,"","plus","GNAT family N-acetyltransferase","",75114122,"protein-coding",NA,"WP_005680739.1",181,"INE72_RS14775","bacteroides_caccae.tsv"
"10192","NZ_CP072258.1",3618109,3618699,"","minus","YqgE/AlgH family protein","",75114123,"protein-coding",NA,"WP_005676297.1",196,"INE72_RS14780","bacteroides_caccae.tsv"
"10193","NZ_CP072258.1",3618794,3620110,"","minus","pyridoxal phosphate-dependent aminotransferase","",75114124,"protein-coding",NA,"WP_005676296.1",438,"INE72_RS14785","bacteroides_caccae.tsv"
"10194","NZ_CP072258.1",3620703,3621707,"","minus","beta-ketoacyl-ACP synthase III","",75114126,"protein-coding",NA,"WP_005680743.1",334,"INE72_RS14795","bacteroides_caccae.tsv"
