locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKHJKCLP_01179	CDS	1038	wbbI	2.4.1.-	COG0438	Beta-1,6-galactofuranosyltransferase WbbI
EKHJKCLP_01180	CDS	912				hypothetical protein
EKHJKCLP_01181	CDS	822				hypothetical protein
EKHJKCLP_01182	CDS	1134	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
EKHJKCLP_01183	CDS	813				hypothetical protein
EKHJKCLP_01184	CDS	732				hypothetical protein
EKHJKCLP_01185	CDS	1053	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
EKHJKCLP_01186	CDS	801	kfoC_1			Chondroitin synthase
EKHJKCLP_01187	CDS	801	kfoC_2			Chondroitin synthase
EKHJKCLP_01188	CDS	837				hypothetical protein
EKHJKCLP_01189	CDS	1104	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
EKHJKCLP_01190	CDS	840				hypothetical protein
EKHJKCLP_01191	CDS	963				hypothetical protein
EKHJKCLP_01192	CDS	984				hypothetical protein
EKHJKCLP_01193	CDS	870				hypothetical protein
EKHJKCLP_01194	CDS	903				hypothetical protein
EKHJKCLP_01195	CDS	204				hypothetical protein
EKHJKCLP_01196	CDS	1446			COG3385	IS4 family transposase ISBf8
EKHJKCLP_01197	CDS	1506				hypothetical protein
EKHJKCLP_01198	CDS	2193				hypothetical protein
EKHJKCLP_01199	CDS	837				hypothetical protein
EKHJKCLP_01200	CDS	1062				hypothetical protein
EKHJKCLP_01201	CDS	2361				hypothetical protein
EKHJKCLP_01202	CDS	2496				hypothetical protein
EKHJKCLP_01203	CDS	609				hypothetical protein
EKHJKCLP_01204	CDS	2130				hypothetical protein
EKHJKCLP_01205	CDS	1836	msbA	7.5.2.6	COG1132	ATP-dependent lipid A-core flippase
EKHJKCLP_01206	CDS	1986	mdoB	2.7.8.20		Phosphoglycerol transferase I
EKHJKCLP_01207	CDS	381				hypothetical protein
EKHJKCLP_01208	CDS	951	ykoT	2.4.-.-	COG0463	putative glycosyltransferase YkoT
EKHJKCLP_01209	CDS	1698	arnT	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
EKHJKCLP_01210	CDS	630	rnhA	3.1.26.4	COG0328	Ribonuclease H
EKHJKCLP_01211	CDS	603				hypothetical protein
EKHJKCLP_01212	CDS	528	aroK	2.7.1.71	COG0703	Shikimate kinase
EKHJKCLP_01213	CDS	2499				hypothetical protein
EKHJKCLP_01214	CDS	1767	htpG_2			Chaperone protein HtpG
EKHJKCLP_01215	CDS	1071				hypothetical protein
EKHJKCLP_01216	CDS	1893	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
EKHJKCLP_01217	CDS	774	argB	2.7.2.8	COG0548	Acetylglutamate kinase
EKHJKCLP_01218	CDS	510	sigL		COG1595	ECF RNA polymerase sigma factor SigL
EKHJKCLP_01219	CDS	480				hypothetical protein
EKHJKCLP_01220	CDS	705				hypothetical protein
EKHJKCLP_01221	CDS	396				hypothetical protein
EKHJKCLP_01222	CDS	468	rimP			Ribosome maturation factor RimP
EKHJKCLP_01223	CDS	1293				hypothetical protein
EKHJKCLP_01224	CDS	3081	lepA_1			Elongation factor 4
EKHJKCLP_01225	CDS	531				hypothetical protein
EKHJKCLP_01226	CDS	1455	sufB		COG0719	Iron-sulfur cluster assembly protein SufB
EKHJKCLP_01227	CDS	753	sufC		COG0396	putative ATP-dependent transporter SufC
EKHJKCLP_01228	CDS	1350	sufD		COG0719	Iron-sulfur cluster assembly protein SufD
EKHJKCLP_01229	CDS	1212	cyd	2.8.1.7	COG0520	Cysteine desulfurase
EKHJKCLP_01230	CDS	327				hypothetical protein
EKHJKCLP_01231	CDS	1521		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
EKHJKCLP_01232	CDS	1950				hypothetical protein
EKHJKCLP_01233	CDS	3417			COG1629	TonB-dependent receptor P26
EKHJKCLP_01234	CDS	1086				hypothetical protein
EKHJKCLP_01235	CDS	642				hypothetical protein
EKHJKCLP_01236	CDS	900	gpmI_2	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
EKHJKCLP_01237	CDS	2574				hypothetical protein
EKHJKCLP_01238	CDS	2190	agaA_4	3.2.1.22		Alpha-galactosidase AgaA
EKHJKCLP_01239	CDS	2205	hppA1	7.2.3.1	COG3808	Putative K(+)-stimulated pyrophosphate-energized sodium pump 1
EKHJKCLP_01240	CDS	603	rnhB	3.1.26.4	COG0164	Ribonuclease HII
EKHJKCLP_01241	CDS	1542				hypothetical protein
EKHJKCLP_01242	CDS	4041	rcsC_17	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_01243	CDS	3078			COG4771	TonB-dependent receptor P3
EKHJKCLP_01244	CDS	1899				hypothetical protein
EKHJKCLP_01245	CDS	708				hypothetical protein
EKHJKCLP_01246	CDS	1767				hypothetical protein
EKHJKCLP_01247	CDS	1962		3.2.1.22	COG4948	Retaining alpha-galactosidase
EKHJKCLP_01248	CDS	2142				hypothetical protein
EKHJKCLP_01249	CDS	2025				hypothetical protein
EKHJKCLP_01250	CDS	981	corA_1		COG0598	Cobalt/magnesium transport protein CorA
EKHJKCLP_01251	CDS	2484				hypothetical protein
EKHJKCLP_01252	CDS	1515	gpmI_3	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
EKHJKCLP_01253	CDS	582				hypothetical protein
EKHJKCLP_01254	CDS	192				hypothetical protein
EKHJKCLP_01255	CDS	1959	gyrB_2	5.6.2.2	COG0187	DNA gyrase subunit B
EKHJKCLP_01256	CDS	255	rpsT		COG0268	Small ribosomal subunit protein bS20
EKHJKCLP_01257	tRNA	73				tRNA-Glu(ttc)
EKHJKCLP_01258	CDS	447	sigM		COG1595	ECF RNA polymerase sigma factor SigM
EKHJKCLP_01259	CDS	582				hypothetical protein
EKHJKCLP_01260	CDS	579				hypothetical protein
EKHJKCLP_01261	CDS	729	recO			DNA repair protein RecO
EKHJKCLP_01262	CDS	945				hypothetical protein
EKHJKCLP_01263	CDS	1194				hypothetical protein
EKHJKCLP_01264	CDS	975				hypothetical protein
EKHJKCLP_01265	CDS	1497				hypothetical protein
EKHJKCLP_01266	CDS	528				hypothetical protein
EKHJKCLP_01267	CDS	888				hypothetical protein
EKHJKCLP_01268	CDS	192				hypothetical protein
EKHJKCLP_01269	CDS	564				hypothetical protein
EKHJKCLP_01270	CDS	1059				hypothetical protein
EKHJKCLP_01271	CDS	672				hypothetical protein
EKHJKCLP_01272	CDS	960	xerC_13			Tyrosine recombinase XerC
EKHJKCLP_01273	CDS	1230	xerC_14			Tyrosine recombinase XerC
EKHJKCLP_01274	CDS	303				hypothetical protein
EKHJKCLP_01275	CDS	120				hypothetical protein
EKHJKCLP_01276	CDS	303				hypothetical protein
EKHJKCLP_01277	CDS	432				hypothetical protein
EKHJKCLP_01278	CDS	774				hypothetical protein
EKHJKCLP_01279	CDS	321				hypothetical protein
EKHJKCLP_01280	CDS	687				hypothetical protein
EKHJKCLP_01281	CDS	177				hypothetical protein
EKHJKCLP_01282	CDS	948				hypothetical protein
EKHJKCLP_01283	CDS	636				hypothetical protein
EKHJKCLP_01284	CDS	1299	zraR_3			Transcriptional regulatory protein ZraR
EKHJKCLP_01285	CDS	2409	rcsC_18	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_01286	CDS	2142	susB_1	3.2.1.3	COG1082	Glucan 1,4-alpha-glucosidase SusB
EKHJKCLP_01287	CDS	2322				hypothetical protein
EKHJKCLP_01288	CDS	1479	imd	3.2.1.94		Isomalto-dextranase
EKHJKCLP_01289	CDS	1494				hypothetical protein
EKHJKCLP_01290	CDS	1857				hypothetical protein
EKHJKCLP_01291	CDS	3090			COG4771	TonB-dependent receptor P3
EKHJKCLP_01292	CDS	1659				hypothetical protein
EKHJKCLP_01293	CDS	294				hypothetical protein
EKHJKCLP_01294	CDS	1014				hypothetical protein
EKHJKCLP_01295	CDS	591				hypothetical protein
EKHJKCLP_01296	CDS	1956	noc_1			Nucleoid occlusion protein
EKHJKCLP_01297	CDS	240				hypothetical protein
EKHJKCLP_01298	CDS	462				hypothetical protein
EKHJKCLP_01299	CDS	912	htpX_1	3.4.24.-		Protease HtpX
EKHJKCLP_01300	CDS	462				hypothetical protein
EKHJKCLP_01301	CDS	591				hypothetical protein
EKHJKCLP_01302	CDS	900				hypothetical protein
EKHJKCLP_01303	CDS	405				hypothetical protein
EKHJKCLP_01304	CDS	852				hypothetical protein
EKHJKCLP_01305	CDS	288				hypothetical protein
EKHJKCLP_01306	CDS	450				hypothetical protein
EKHJKCLP_01307	CDS	108				hypothetical protein
EKHJKCLP_01308	CDS	1014				hypothetical protein
EKHJKCLP_01309	CDS	603				hypothetical protein
EKHJKCLP_01310	CDS	276				hypothetical protein
EKHJKCLP_01311	CDS	132				hypothetical protein
EKHJKCLP_01312	CDS	1824	ltrA_1			Group II intron-encoded protein LtrA
EKHJKCLP_01313	CDS	351				hypothetical protein
EKHJKCLP_01314	CDS	1167				hypothetical protein
EKHJKCLP_01315	CDS	624				hypothetical protein
EKHJKCLP_01316	CDS	171				hypothetical protein
EKHJKCLP_01317	CDS	321				hypothetical protein
EKHJKCLP_01318	CDS	300				hypothetical protein
EKHJKCLP_01319	CDS	438				hypothetical protein
EKHJKCLP_01320	CDS	456				hypothetical protein
EKHJKCLP_01321	CDS	909				hypothetical protein
EKHJKCLP_01322	CDS	429				hypothetical protein
EKHJKCLP_01323	CDS	450				hypothetical protein
EKHJKCLP_01324	CDS	225				hypothetical protein
EKHJKCLP_01325	CDS	93				hypothetical protein
EKHJKCLP_01326	CDS	1188				hypothetical protein
EKHJKCLP_01327	CDS	276				hypothetical protein
EKHJKCLP_01328	CDS	1503				hypothetical protein
EKHJKCLP_01329	CDS	1653				hypothetical protein
EKHJKCLP_01330	CDS	1182				hypothetical protein
EKHJKCLP_01331	CDS	1296				hypothetical protein
EKHJKCLP_01332	CDS	444				hypothetical protein
EKHJKCLP_01333	CDS	180				hypothetical protein
EKHJKCLP_01334	CDS	3081				hypothetical protein
EKHJKCLP_01335	CDS	1050	xerD_5			Tyrosine recombinase XerD
EKHJKCLP_01336	CDS	957	xerC_15			Tyrosine recombinase XerC
EKHJKCLP_01337	CDS	1212	xerC_16			Tyrosine recombinase XerC
EKHJKCLP_01338	CDS	987				hypothetical protein
EKHJKCLP_01339	CDS	1023				hypothetical protein
EKHJKCLP_01340	CDS	330				hypothetical protein
EKHJKCLP_01341	CDS	306				hypothetical protein
EKHJKCLP_01342	CDS	450	yqeY		COG1610	putative protein YqeY
EKHJKCLP_01343	CDS	1311	ftsZ			Cell division protein FtsZ
EKHJKCLP_01344	CDS	1446	ftsA			Cell division protein FtsA
EKHJKCLP_01345	CDS	747				hypothetical protein
EKHJKCLP_01346	CDS	1377	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
EKHJKCLP_01347	CDS	1116	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
EKHJKCLP_01348	CDS	1320	ftsW	2.4.99.28	COG0772	putative peptidoglycan glycosyltransferase FtsW
EKHJKCLP_01349	CDS	1335	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
EKHJKCLP_01350	CDS	1269	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
EKHJKCLP_01351	CDS	1449	murE_1	6.3.2.13		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
EKHJKCLP_01352	CDS	2130	ftsI_2	3.4.16.4		Peptidoglycan D,D-transpeptidase FtsI
EKHJKCLP_01353	CDS	354				hypothetical protein
EKHJKCLP_01354	CDS	915	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
EKHJKCLP_01355	CDS	471	mraZ			Transcriptional regulator MraZ
EKHJKCLP_01356	CDS	504	sigH_2			ECF RNA polymerase sigma factor SigH
EKHJKCLP_01357	CDS	819	glsA	2.3.1.-	COG0204	Lyso-glycine lipid O-acyltransferase
EKHJKCLP_01358	CDS	1014	glsB	2.3.2.-	COG3176	Glycine N(alpha)-acyltransferase
EKHJKCLP_01359	CDS	1344	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
EKHJKCLP_01360	CDS	435	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
EKHJKCLP_01361	CDS	1845	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
EKHJKCLP_01362	CDS	567				hypothetical protein
EKHJKCLP_01363	CDS	1308	envC		COG4942	Murein hydrolase activator EnvC
EKHJKCLP_01364	CDS	1131	mro_1	5.1.3.3		Aldose 1-epimerase
EKHJKCLP_01365	CDS	576	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
EKHJKCLP_01366	CDS	801				hypothetical protein
EKHJKCLP_01367	CDS	258				hypothetical protein
EKHJKCLP_01368	CDS	651				hypothetical protein
EKHJKCLP_01369	CDS	1005				hypothetical protein
EKHJKCLP_01370	CDS	960				hypothetical protein
EKHJKCLP_01371	CDS	303				hypothetical protein
EKHJKCLP_01372	CDS	372				hypothetical protein
EKHJKCLP_01373	CDS	129				hypothetical protein
EKHJKCLP_01374	CDS	525	resA_9			Thiol-disulfide oxidoreductase ResA
EKHJKCLP_01375	CDS	1479				hypothetical protein
EKHJKCLP_01376	CDS	2085				hypothetical protein
EKHJKCLP_01377	CDS	1008				hypothetical protein
EKHJKCLP_01378	CDS	1068	dapE	3.5.1.18	COG0624	Putative succinyl-diaminopimelate desuccinylase DapE
EKHJKCLP_01379	CDS	762				hypothetical protein
EKHJKCLP_01380	CDS	981				hypothetical protein
EKHJKCLP_01381	CDS	1200				hypothetical protein
EKHJKCLP_01382	CDS	1116				hypothetical protein
EKHJKCLP_01383	CDS	1620				hypothetical protein
EKHJKCLP_01384	CDS	3279			COG1629	TonB-dependent receptor P26
EKHJKCLP_01385	CDS	990				hypothetical protein
EKHJKCLP_01386	CDS	546	fecI		COG1595	Ferric citrate uptake sigma factor FecI
EKHJKCLP_01387	CDS	135				hypothetical protein
EKHJKCLP_01388	CDS	1806		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
EKHJKCLP_01389	CDS	960	prfB		COG1186	Peptide chain release factor RF2
EKHJKCLP_01390	CDS	135				hypothetical protein
EKHJKCLP_01391	CDS	1020				hypothetical protein
EKHJKCLP_01392	CDS	468		3.6.1.25	COG2954	Inorganic triphosphatase
EKHJKCLP_01393	CDS	1299				hypothetical protein
EKHJKCLP_01394	CDS	96				hypothetical protein
EKHJKCLP_01395	CDS	975				hypothetical protein
EKHJKCLP_01396	CDS	2745				hypothetical protein
EKHJKCLP_01397	CDS	1035				hypothetical protein
EKHJKCLP_01398	CDS	1197				hypothetical protein
EKHJKCLP_01399	CDS	2400				hypothetical protein
EKHJKCLP_01400	CDS	1563				hypothetical protein
EKHJKCLP_01401	CDS	2112				hypothetical protein
EKHJKCLP_01402	CDS	2553				hypothetical protein
EKHJKCLP_01403	CDS	1404		3.2.1.214	COG5368	Exo beta-1,2-glucooligosaccharide sophorohydrolase (non-reducing end)
EKHJKCLP_01404	CDS	2310		3.2.1.-	COG1472	Beta-xylosidase
EKHJKCLP_01405	CDS	1530			COG0702	SusD-like protein P2
EKHJKCLP_01406	CDS	3066			COG4771	TonB-dependent receptor P3
EKHJKCLP_01407	CDS	891	deoK_2	2.7.1.15		Deoxyribokinase
EKHJKCLP_01408	tRNA	85				tRNA-Leu(tag)
EKHJKCLP_01409	CDS	1023				hypothetical protein
EKHJKCLP_01410	CDS	864				hypothetical protein
EKHJKCLP_01411	CDS	2646	gyrA_1	5.6.2.2		DNA gyrase subunit A
EKHJKCLP_01412	CDS	2286				hypothetical protein
EKHJKCLP_01413	CDS	1542	glyQS	6.1.1.14		Glycine--tRNA ligase
EKHJKCLP_01414	CDS	570				hypothetical protein
EKHJKCLP_01415	CDS	831	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
EKHJKCLP_01416	CDS	837				hypothetical protein
EKHJKCLP_01417	CDS	1116				hypothetical protein
EKHJKCLP_01418	CDS	1293	ampG_1		COG2223	Anhydromuropeptide permease
EKHJKCLP_01419	CDS	1341				hypothetical protein
EKHJKCLP_01420	CDS	2472				hypothetical protein
EKHJKCLP_01421	CDS	1473	siaT_1		COG0591	Sodium/sialic acid symporter SiaT
EKHJKCLP_01422	CDS	1443				hypothetical protein
EKHJKCLP_01423	CDS	1296				hypothetical protein
EKHJKCLP_01424	CDS	336				hypothetical protein
EKHJKCLP_01425	CDS	315				hypothetical protein
EKHJKCLP_01426	CDS	540				hypothetical protein
EKHJKCLP_01427	CDS	1008	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
EKHJKCLP_01428	CDS	2136	kefB_2			Glutathione-regulated potassium-efflux system protein KefB
EKHJKCLP_01429	CDS	735	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
EKHJKCLP_01430	CDS	657	yknY_2	7.6.2.-	COG1136	putative ABC transporter ATP-binding protein YknY
EKHJKCLP_01431	CDS	924				hypothetical protein
EKHJKCLP_01432	CDS	1371				hypothetical protein
EKHJKCLP_01433	CDS	390				hypothetical protein
EKHJKCLP_01434	CDS	1299	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
EKHJKCLP_01435	CDS	2016	rcsC_19	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_01436	CDS	864	folP	2.5.1.15	COG0294	Dihydropteroate synthase
EKHJKCLP_01437	CDS	765	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
EKHJKCLP_01438	CDS	2337				hypothetical protein
EKHJKCLP_01439	CDS	966				hypothetical protein
EKHJKCLP_01440	CDS	2460				hypothetical protein
EKHJKCLP_01441	CDS	1959		3.2.1.22	COG4948	Retaining alpha-galactosidase
EKHJKCLP_01442	CDS	1005	xynD_1	3.2.1.55	COG3507	Arabinoxylan arabinofuranohydrolase
EKHJKCLP_01443	CDS	4155	rcsC_20	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_01444	CDS	3132	susC_6		COG1629	TonB-dependent receptor SusC
EKHJKCLP_01445	CDS	1929				hypothetical protein
EKHJKCLP_01446	CDS	3015			COG1629	TonB-dependent receptor P26
EKHJKCLP_01447	CDS	1638				hypothetical protein
EKHJKCLP_01448	CDS	894				hypothetical protein
EKHJKCLP_01449	CDS	1536				hypothetical protein
EKHJKCLP_01450	CDS	1908				hypothetical protein
EKHJKCLP_01451	CDS	1257				hypothetical protein
EKHJKCLP_01452	CDS	1023				hypothetical protein
EKHJKCLP_01453	CDS	1296				hypothetical protein
EKHJKCLP_01454	CDS	1134		3.2.1.-		Unsaturated 3S-rhamnoglycuronyl hydrolase
EKHJKCLP_01455	CDS	1011				hypothetical protein
EKHJKCLP_01456	CDS	843				hypothetical protein
EKHJKCLP_01457	CDS	918				hypothetical protein
EKHJKCLP_01458	CDS	696	yohK		COG1346	Inner membrane protein YohK
EKHJKCLP_01459	CDS	444	cidA			Holin-like protein CidA
EKHJKCLP_01460	CDS	1020	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
EKHJKCLP_01461	CDS	1200	ackA	2.7.2.1	COG0282	Acetate kinase
EKHJKCLP_01462	CDS	990				hypothetical protein
EKHJKCLP_01463	CDS	696				hypothetical protein
EKHJKCLP_01464	CDS	312			COG2151	Fe-S protein maturation auxiliary factor
EKHJKCLP_01465	CDS	765		3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
EKHJKCLP_01466	CDS	1401	phoB_1	3.1.3.1	COG1785	Alkaline phosphatase 3
EKHJKCLP_01467	CDS	567	efp		COG0231	Elongation factor P
EKHJKCLP_01468	CDS	162	rpmH		COG0230	Large ribosomal subunit protein bL34
EKHJKCLP_01469	CDS	651				hypothetical protein
EKHJKCLP_01470	CDS	1074	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
EKHJKCLP_01471	CDS	975	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
EKHJKCLP_01472	CDS	1149				hypothetical protein
EKHJKCLP_01473	CDS	708				hypothetical protein
EKHJKCLP_01474	CDS	396	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
EKHJKCLP_01475	CDS	678				hypothetical protein
EKHJKCLP_01476	CDS	954	argF'	2.1.3.11		N-succinylornithine carbamoyltransferase
EKHJKCLP_01477	CDS	1254	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
EKHJKCLP_01478	CDS	1083	proB	2.7.2.11	COG0263	Glutamate 5-kinase
EKHJKCLP_01479	CDS	171				hypothetical protein
EKHJKCLP_01480	CDS	234				hypothetical protein
EKHJKCLP_01481	CDS	843	murI	5.1.1.3		Glutamate racemase
EKHJKCLP_01482	CDS	516				hypothetical protein
EKHJKCLP_01483	CDS	516	skp		COG2825	Chaperone protein Skp
EKHJKCLP_01484	CDS	2655	bamA_1			Outer membrane protein assembly factor BamA
EKHJKCLP_01485	CDS	735	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
EKHJKCLP_01486	CDS	1494				hypothetical protein
EKHJKCLP_01487	CDS	1047	ribD		COG0117	Riboflavin biosynthesis protein RibD
EKHJKCLP_01488	CDS	837	prmC	2.1.1.297		Release factor glutamine methyltransferase
EKHJKCLP_01489	CDS	483	recX			Regulatory protein RecX
EKHJKCLP_01490	CDS	639	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
EKHJKCLP_01491	CDS	411				hypothetical protein
EKHJKCLP_01492	CDS	1341	argH	4.3.2.1	COG0165	Argininosuccinate lyase
EKHJKCLP_01493	tRNA	74				tRNA-Gly(gcc)
EKHJKCLP_01494	tRNA	85				tRNA-Leu(taa)
EKHJKCLP_01495	CDS	2166	cslA_1	4.2.2.5	COG5492	Chondroitinase-AC
EKHJKCLP_01496	CDS	201				hypothetical protein
EKHJKCLP_01497	CDS	1656	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
EKHJKCLP_01498	CDS	555				hypothetical protein
EKHJKCLP_01499	CDS	774	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
EKHJKCLP_01500	CDS	1122	lysJ	2.6.1.118	COG4992	[LysW]-aminoadipate semialdehyde transaminase
EKHJKCLP_01501	CDS	969	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
EKHJKCLP_01502	CDS	1209	argG	6.3.4.5	COG0137	Argininosuccinate synthase
EKHJKCLP_01503	CDS	579				hypothetical protein
EKHJKCLP_01504	CDS	474	argR			Arginine repressor
EKHJKCLP_01505	CDS	186				hypothetical protein
EKHJKCLP_01506	CDS	1458	rhaB_1	2.7.1.5	COG1070	L-Rhamnulokinase
EKHJKCLP_01507	CDS	1257	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
EKHJKCLP_01508	CDS	1020	rhaT			L-rhamnose-proton symporter
EKHJKCLP_01509	CDS	819	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
EKHJKCLP_01510	CDS	1155	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
EKHJKCLP_01511	CDS	165				hypothetical protein
EKHJKCLP_01512	CDS	336	gbdR			HTH-type transcriptional regulator GbdR
EKHJKCLP_01513	tRNA	74				tRNA-Met(cat)
EKHJKCLP_01514	CDS	591				hypothetical protein
EKHJKCLP_01515	CDS	747	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EKHJKCLP_01516	CDS	672	rluD_2	5.4.99.23		Ribosomal large subunit pseudouridine synthase D
EKHJKCLP_01517	CDS	948				hypothetical protein
EKHJKCLP_01518	CDS	270				hypothetical protein
EKHJKCLP_01519	CDS	1557	atsA_4	3.1.6.1		Arylsulfatase
EKHJKCLP_01520	CDS	1383				hypothetical protein
EKHJKCLP_01521	CDS	156				hypothetical protein
EKHJKCLP_01522	CDS	1371	zraR_4		COG2204	Transcriptional regulatory protein ZraR
EKHJKCLP_01523	CDS	840		5.2.1.8		Putative peptidyl-prolyl cis-trans isomerase
EKHJKCLP_01524	CDS	1233	pqqE	3.4.24.-	COG0612	Zinc protease PqqE
EKHJKCLP_01525	CDS	1359	norM		COG0534	Multidrug resistance protein NorM
EKHJKCLP_01526	CDS	2292	rcsC_21	2.7.13.3		Sensor histidine kinase RcsC
EKHJKCLP_01527	CDS	4488				hypothetical protein
EKHJKCLP_01528	CDS	2343	bamA_2			Outer membrane protein assembly factor BamA
EKHJKCLP_01529	CDS	912				hypothetical protein
EKHJKCLP_01530	CDS	1956	yheS_1		COG0488	putative ATP-binding protein YheS
EKHJKCLP_01531	CDS	2061	pepO	3.4.24.-	COG3590	Neutral endopeptidase
EKHJKCLP_01532	CDS	1653	purH_1		COG0138	Bifunctional purine biosynthesis protein PurH
EKHJKCLP_01533	CDS	1023	mbl		COG1077	Cell shape-determining protein Mbl
EKHJKCLP_01534	CDS	846				hypothetical protein
EKHJKCLP_01535	CDS	498				hypothetical protein
EKHJKCLP_01536	CDS	1863	mrdA	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
EKHJKCLP_01537	CDS	1458	mrdB	2.4.99.28		Peptidoglycan glycosyltransferase MrdB
EKHJKCLP_01538	CDS	480	gldH			Gliding motility lipoprotein GldH
EKHJKCLP_01539	CDS	1446				hypothetical protein
EKHJKCLP_01540	CDS	1125				hypothetical protein
EKHJKCLP_01541	CDS	954	metF	1.5.1.54	COG0685	5,10-methylenetetrahydrofolate reductase
EKHJKCLP_01542	CDS	513				hypothetical protein
EKHJKCLP_01543	rRNA	1529				16S ribosomal RNA
EKHJKCLP_01544	tRNA	75				tRNA-Ile(gat)
EKHJKCLP_01545	tRNA	75				tRNA-Ala(tgc)
EKHJKCLP_01546	rRNA	2880				23S ribosomal RNA
EKHJKCLP_01547	rRNA	111				5S ribosomal RNA
EKHJKCLP_01548	CDS	579				hypothetical protein
EKHJKCLP_01549	CDS	186	rpmF			Large ribosomal subunit protein bL32
EKHJKCLP_01550	CDS	1008	fabH_2	2.3.1.180	COG0332	Beta-ketoacyl-[acyl-carrier-protein] synthase III
EKHJKCLP_01551	CDS	882	era			GTPase Era
EKHJKCLP_01552	CDS	1314	der_1		COG1160	GTPase Der
EKHJKCLP_01553	CDS	762	lptB_2	7.5.2.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
EKHJKCLP_01554	CDS	744	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
EKHJKCLP_01555	CDS	771	mkl		COG1135	putative ribonucleotide transport ATP-binding protein mkl
EKHJKCLP_01556	CDS	246				hypothetical protein
EKHJKCLP_01557	CDS	255				hypothetical protein
EKHJKCLP_01558	CDS	1356	tig	5.2.1.8		Trigger factor
EKHJKCLP_01559	CDS	663	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
EKHJKCLP_01560	CDS	1245	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
EKHJKCLP_01561	CDS	2181	recQ_1	5.6.2.4	COG0514	ATP-dependent DNA helicase RecQ
EKHJKCLP_01562	CDS	1479	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
EKHJKCLP_01563	CDS	1548	surA_1	5.2.1.8		Chaperone SurA
EKHJKCLP_01564	CDS	846				hypothetical protein
